timestamp,q10,q50,q90
2012-12-25 00:00:00,8,15,30
2012-12-25 01:00:00,5,10,22
2012-12-25 02:00:00,3,7,16
2012-12-25 03:00:00,2,5,12
2012-12-25 04:00:00,2,5,12
2012-12-25 05:00:00,3,7,15
2012-12-25 06:00:00,5,12,25
2012-12-25 07:00:00,8,20,40
2012-12-25 08:00:00,15,40,75
2012-12-25 09:00:00,25,65,110
2012-12-25 10:00:00,45,110,180
2012-12-25 11:00:00,70,170,260
2012-12-25 12:00:00,90,220,330
2012-12-25 13:00:00,110,280,400
2012-12-25 14:00:00,105,260,380
2012-12-25 15:00:00,95,240,350
2012-12-25 16:00:00,85,210,320
2012-12-25 17:00:00,70,170,260
2012-12-25 18:00:00,55,130,210
2012-12-25 19:00:00,40,100,170
2012-12-25 20:00:00,30,75,130
2012-12-25 21:00:00,22,55,95
2012-12-25 22:00:00,16,40,75
2012-12-25 23:00:00,10,25,50
2012-12-26 00:00:00,15,35,60
2012-12-26 01:00:00,8,18,35
2012-12-26 02:00:00,4,10,22
2012-12-26 03:00:00,3,7,15
2012-12-26 04:00:00,3,7,14
2012-12-26 05:00:00,10,25,45
2012-12-26 06:00:00,35,85,140
2012-12-26 07:00:00,90,220,340
2012-12-26 08:00:00,140,360,540
2012-12-26 09:00:00,80,200,320
2012-12-26 10:00:00,40,100,170
2012-12-26 11:00:00,45,115,185
2012-12-26 12:00:00,55,140,220
2012-12-26 13:00:00,55,135,215
2012-12-26 14:00:00,50,125,200
2012-12-26 15:00:00,55,140,220
2012-12-26 16:00:00,75,190,290
2012-12-26 17:00:00,110,280,420
2012-12-26 18:00:00,105,260,390
2012-12-26 19:00:00,65,160,250
2012-12-26 20:00:00,40,95,160
2012-12-26 21:00:00,25,60,105
2012-12-26 22:00:00,16,38,70
2012-12-26 23:00:00,10,24,45
2012-12-27 00:00:00,12,28,50
2012-12-27 01:00:00,6,15,28
2012-12-27 02:00:00,4,9,18
2012-12-27 03:00:00,3,6,14
2012-12-27 04:00:00,3,7,15
2012-12-27 05:00:00,12,28,50
2012-12-27 06:00:00,40,95,155
2012-12-27 07:00:00,120,280,420
2012-12-27 08:00:00,190,450,650
2012-12-27 09:00:00,95,230,360
2012-12-27 10:00:00,45,110,180
2012-12-27 11:00:00,55,130,205
2012-12-27 12:00:00,70,165,255
2012-12-27 13:00:00,70,170,260
2012-12-27 14:00:00,60,150,230
2012-12-27 15:00:00,65,160,245
2012-12-27 16:00:00,85,210,315
2012-12-27 17:00:00,120,300,440
2012-12-27 18:00:00,110,270,410
2012-12-27 19:00:00,75,180,275
2012-12-27 20:00:00,50,120,190
2012-12-27 21:00:00,32,75,125
2012-12-27 22:00:00,20,50,85
2012-12-27 23:00:00,12,30,55
2012-12-28 00:00:00,15,35,60
2012-12-28 01:00:00,8,18,32
2012-12-28 02:00:00,5,10,20
2012-12-28 03:00:00,3,7,15
2012-12-28 04:00:00,3,7,15
2012-12-28 05:00:00,12,28,48
2012-12-28 06:00:00,45,100,165
2012-12-28 07:00:00,130,300,450
2012-12-28 08:00:00,210,500,720
2012-12-28 09:00:00,110,260,390
2012-12-28 10:00:00,60,135,210
2012-12-28 11:00:00,70,160,245
2012-12-28 12:00:00,85,200,300
2012-12-28 13:00:00,90,210,315
2012-12-28 14:00:00,90,215,320
2012-12-28 15:00:00,95,225,335
2012-12-28 16:00:00,120,290,430
2012-12-28 17:00:00,160,380,560
2012-12-28 18:00:00,130,310,470
2012-12-28 19:00:00,85,200,305
2012-12-28 20:00:00,55,130,205
2012-12-28 21:00:00,38,90,145
2012-12-28 22:00:00,25,60,100
2012-12-28 23:00:00,16,38,65
2012-12-29 00:00:00,35,80,135
2012-12-29 01:00:00,28,65,110
2012-12-29 02:00:00,18,45,80
2012-12-29 03:00:00,8,20,40
2012-12-29 04:00:00,5,12,25
2012-12-29 05:00:00,5,10,22
2012-12-29 06:00:00,8,18,35
2012-12-29 07:00:00,12,28,50
2012-12-29 08:00:00,20,45,80
2012-12-29 09:00:00,45,95,155
2012-12-29 10:00:00,55,120,190
2012-12-29 11:00:00,70,155,240
2012-12-29 12:00:00,75,165,250
2012-12-29 13:00:00,80,175,265
2012-12-29 14:00:00,80,170,260
2012-12-29 15:00:00,75,165,250
2012-12-29 16:00:00,70,155,235
2012-12-29 17:00:00,55,125,195
2012-12-29 18:00:00,45,100,160
2012-12-29 19:00:00,35,80,130
2012-12-29 20:00:00,28,65,105
2012-12-29 21:00:00,24,55,90
2012-12-29 22:00:00,18,42,72
2012-12-29 23:00:00,15,35,60
2012-12-30 00:00:00,25,60,100
2012-12-30 01:00:00,18,45,78
2012-12-30 02:00:00,15,35,60
2012-12-30 03:00:00,8,20,38
2012-12-30 04:00:00,5,12,24
2012-12-30 05:00:00,5,10,20
2012-12-30 06:00:00,6,12,24
2012-12-30 07:00:00,10,22,40
2012-12-30 08:00:00,20,45,78
2012-12-30 09:00:00,28,60,100
2012-12-30 10:00:00,45,95,155
2012-12-30 11:00:00,65,135,210
2012-12-30 12:00:00,80,170,260
2012-12-30 13:00:00,85,180,275
2012-12-30 14:00:00,80,175,265
2012-12-30 15:00:00,70,150,230
2012-12-30 16:00:00,85,185,280
2012-12-30 17:00:00,55,125,195
2012-12-30 18:00:00,40,90,145
2012-12-30 19:00:00,28,65,105
2012-12-30 20:00:00,25,55,90
2012-12-30 21:00:00,20,45,75
2012-12-30 22:00:00,18,40,68
2012-12-30 23:00:00,12,28,50
2012-12-31 00:00:00,15,35,60
2012-12-31 01:00:00,8,18,32
2012-12-31 02:00:00,5,10,20
2012-12-31 03:00:00,3,7,14
2012-12-31 04:00:00,3,7,14
2012-12-31 05:00:00,10,24,42
2012-12-31 06:00:00,35,80,135
2012-12-31 07:00:00,110,250,390
2012-12-31 08:00:00,180,420,620
2012-12-31 09:00:00,90,210,330
2012-12-31 10:00:00,45,105,170
2012-12-31 11:00:00,60,135,210
2012-12-31 12:00:00,75,170,260
2012-12-31 13:00:00,80,180,275
2012-12-31 14:00:00,85,190,285
2012-12-31 15:00:00,90,205,305
2012-12-31 16:00:00,120,270,410
2012-12-31 17:00:00,180,420,620
2012-12-31 18:00:00,170,390,580
2012-12-31 19:00:00,140,320,500
2012-12-31 20:00:00,120,280,430
2012-12-31 21:00:00,110,260,400
2012-12-31 22:00:00,90,210,330
2012-12-31 23:00:00,70,160,250
