method,mase,wql,coverage_80,mape,runtime_s
chronos2_covariates,0.7985354380421442,0.4098362261292947,0.7261904761904762,1.900205262122348,3.3
chatgpt_web,0.8632950997201604,0.4292986515598819,0.6666666666666666,1.6691890371164546,
lightgbm,0.7620815675181465,0.5049549235326546,0.4226190476190476,1.244195750159847,5.7
claude_opus47_desktop,1.0650506035390315,0.5729232160429798,0.7142857142857143,1.4201576165219945,
chronos2_univariate,1.4180027011326173,0.688864748544961,0.5773809523809523,3.0956744108057874,2.8
seasonal_naive,1.4203408528268642,0.9522971992822294,0.7321428571428571,3.359514273046672,0.0
prophet_weather,1.81903439522326,1.0020140782026519,0.6369047619047619,4.498704808269392,1.5
prophet,1.9422705946690857,1.0915357710292013,0.6309523809523809,5.131759900899276,1.6
auto_arima,2.79651764895223,1.2419606668360545,0.9166666666666666,14.195386929291354,82.8
ollama_llama31,8.361557784377993,7.418495172743956,0.125,37.81418667230777,
